,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
33143,33144,Female,43,Returning,PERSONAL,Economy,101 miles,0 minutes,0.0 minutes,4,0,5,5,3,1,5,0,4,4,1,2,1,1,Neutral or Dissatisfied
33144,33145,Female,54,Returning,Personal,Economy,201 miles,3 minutes,3.0 minutes,5,3,5,3,3,2,5,3,5,4,2,3,2,2,Neutral or Dissatisfied
33145,33146,Female,10,Returning,Personal,Economy,163 miles,0 minutes,0.0 minutes,4,0,4,0,2,3,5,5,5,5,5,1,5,5,Neutral or Dissatisfied
33146,33147,FEMALE,49,returning,PERSONAL,Economy,201 miles,0 minutes,0.0 minutes,2,1,2,3,2,2,3,1,4,1,2,1,2,2,Neutral or Dissatisfied
33147,33148,Male,41,Returning,Personal,Economy,163 miles,0 minutes,0.0 minutes,5,0,5,0,3,5,5,2,2,2,5,2,2,5,Neutral or Dissatisfied
33148,33149,Male,31,Returning,Personal,Economy,163 miles,0 minutes,2.0 minutes,4,2,2,2,3,3,1,2,1,1,2,2,1,1,Neutral or Dissatisfied
33149,33150,FEMALE,49,Returning,Personal,Economy,101 miles,0 minutes,0.0 minutes,2,4,4,4,4,1,4,4,4,5,1,4,1,1,Satisfied
33150,33151,male,30,Returning,Personal,ECONOMY,216 miles,0 minutes,0.0 minutes,2,3,1,3,4,2,3,2,1,1,3,3,1,3,Neutral or Dissatisfied
33151,33152,Female,53,Returning,Personal,ECONOMY,101 miles,0 minutes,0.0 minutes,3,3,3,4,3,5,4,3,3,2,5,3,5,2,Neutral or Dissatisfied
33152,33153,Female,14,Returning,PERSONAL,ECONOMY,102 miles,2 minutes,2.0 minutes,1,2,3,2,3,1,3,5,3,3,3,2,3,3,Neutral or Dissatisfied
33153,33154,Male,64,returning,Personal,Economy,163 miles,0 minutes,9.0 minutes,5,3,3,3,2,4,2,4,2,2,4,3,2,4,Neutral or Dissatisfied
33154,33155,Male,40,Returning,Personal,Economy,101 miles,0 minutes,0.0 minutes,2,1,1,1,3,4,4,4,4,4,3,1,4,3,Neutral or Dissatisfied
33155,33156,male,57,returning,PERSONAL,Economy,163 miles,0 minutes,0.0 minutes,4,0,3,0,4,4,3,3,3,3,5,2,3,4,Neutral or Dissatisfied
33156,33157,Male,66,Returning,Personal,ECONOMY,163 miles,13 minutes,13.0 minutes,4,1,5,1,4,5,1,5,1,1,3,1,1,4,Neutral or Dissatisfied
33157,33158,FEMALE,50,Returning,PERSONAL,Economy,101 miles,0 minutes,0.0 minutes,5,1,3,2,2,5,2,1,4,4,5,1,5,5,Neutral or Dissatisfied
33158,33159,FEMALE,22,Returning,Personal,Economy,102 miles,0 minutes,0.0 minutes,3,0,3,0,3,1,5,3,5,5,2,0,5,4,Satisfied
33159,33160,Male,60,Returning,Personal,Economy,84 miles,0 minutes,0.0 minutes,4,2,5,2,3,3,3,4,3,3,4,2,3,5,Neutral or Dissatisfied
33160,33161,Male,14,First-time,PERSONAL,Economy,163 miles,0 minutes,0.0 minutes,5,4,4,4,3,3,2,3,2,2,5,4,2,4,Neutral or Dissatisfied
33161,33162,FEMALE,25,Returning,Personal,Economy,101 miles,0 minutes,0.0 minutes,4,1,5,1,3,3,2,5,2,2,5,1,2,5,Neutral or Dissatisfied
33162,33163,Male,47,Returning,Personal,Economy,102 miles,0 minutes,3.0 minutes,1,0,4,0,3,2,1,3,1,1,3,1,1,4,Neutral or Dissatisfied
33163,33164,Male,24,returning,PERSONAL,Economy,163 miles,0 minutes,0.0 minutes,4,2,3,2,2,5,3,5,3,3,4,2,3,5,Neutral or Dissatisfied
33164,33165,male,33,Returning,PERSONAL,Economy,163 miles,0 minutes,0.0 minutes,4,3,4,3,2,4,4,5,4,4,5,3,4,5,Neutral or Dissatisfied
33165,33166,Male,57,Returning,PERSONAL,Economy,216 miles,60 minutes,63.0 minutes,0,3,3,3,4,3,3,3,3,3,4,3,3,5,Neutral or Dissatisfied
33166,33167,Male,31,returning,PERSONAL,Economy,163 miles,0 minutes,1.0 minutes,4,3,3,3,3,3,3,4,3,3,5,3,3,4,Neutral or Dissatisfied
33167,33168,Female,37,returning,Personal,Economy,101 miles,0 minutes,0.0 minutes,5,2,5,2,2,3,1,4,1,1,5,2,1,4,Neutral or Dissatisfied
33168,33169,Male,49,returning,PERSONAL,Economy,102 miles,0 minutes,1.0 minutes,4,1,1,1,5,3,4,1,4,4,2,1,4,4,Neutral or Dissatisfied
33169,33170,Female,35,Returning,Personal,ECONOMY,102 miles,0 minutes,0.0 minutes,5,0,5,0,4,4,2,3,2,2,4,2,2,5,Neutral or Dissatisfied
33170,33171,male,36,returning,Personal,Economy,101 miles,9 minutes,15.0 minutes,5,4,5,4,4,5,4,5,2,2,4,4,2,5,Neutral or Dissatisfied
33171,33172,FEMALE,44,Returning,Personal,Economy,101 miles,5 minutes,17.0 minutes,4,1,3,4,1,1,4,1,5,4,1,1,1,1,Neutral or Dissatisfied
33172,33173,Male,52,Returning,PERSONAL,ECONOMY,102 miles,0 minutes,0.0 minutes,5,3,5,3,5,4,3,3,2,2,4,3,2,5,Neutral or Dissatisfied
33173,33174,Female,21,Returning,PERSONAL,Economy,102 miles,0 minutes,0.0 minutes,3,4,2,4,4,1,1,3,1,1,2,4,1,5,Neutral or Dissatisfied
33174,33175,Male,27,Returning,Personal,Economy,216 miles,0 minutes,0.0 minutes,0,3,4,3,2,4,4,2,4,4,4,3,4,3,Neutral or Dissatisfied
33175,33176,Female,41,Returning,Personal,Economy,101 miles,0 minutes,2.0 minutes,4,4,4,4,3,2,5,2,5,5,4,4,5,5,Neutral or Dissatisfied
33176,33177,Female,70,Returning,Personal,Economy,163 miles,0 minutes,0.0 minutes,5,1,4,3,1,4,5,1,2,3,4,1,4,2,Neutral or Dissatisfied
33177,33178,Male,8,Returning,Personal,Economy,163 miles,0 minutes,0.0 minutes,4,1,4,1,4,5,4,2,4,4,4,1,4,4,Neutral or Dissatisfied
33178,33179,male,37,Returning,business,Economy Plus,101 miles,0 minutes,11.0 minutes,5,5,4,4,5,1,4,5,4,4,4,4,4,5,Satisfied
33179,33180,Female,50,Returning,Business,ECONOMY PLUS,101 miles,5 minutes,25.0 minutes,5,5,5,4,5,4,4,4,5,2,4,4,4,4,Satisfied
33180,33181,Female,57,First-time,business,Economy Plus,216 miles,0 minutes,0.0 minutes,1,1,2,1,3,4,4,3,5,5,5,1,5,1,Neutral or Dissatisfied
33181,33182,Female,24,First-time,Business,Economy,101 miles,0 minutes,0.0 minutes,0,3,5,3,1,5,4,4,4,4,1,3,4,3,Neutral or Dissatisfied
33182,33183,Male,34,Returning,Business,Economy Plus,216 miles,0 minutes,17.0 minutes,2,2,1,4,2,4,4,1,4,4,5,4,4,2,Satisfied
33183,33184,Female,58,returning,Business,Economy Plus,216 miles,0 minutes,6.0 minutes,4,4,5,3,4,5,4,5,2,5,5,5,5,5,Satisfied
33184,33185,FEMALE,39,First-time,Business,Business,216 miles,10 minutes,13.0 minutes,2,2,1,2,4,2,4,4,4,4,3,2,4,2,Neutral or Dissatisfied
33185,33186,Female,21,First-time,Business,ECONOMY,101 miles,0 minutes,0.0 minutes,1,3,1,3,3,2,3,5,3,3,3,3,3,4,Neutral or Dissatisfied
33186,33187,Female,42,Returning,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,5,5,3,1,5,4,5,4,2,5,4,4,4,4,Satisfied
33187,33188,Female,33, First-time ,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,1,1,1,1,1,3,4,4,4,4,4,2,4,3,Neutral or Dissatisfied
33188,33189,Female,56,Returning,Business,ECONOMY PLUS,102 miles,10 minutes,8.0 minutes,3,5,2,3,3,4,3,4,1,5,4,4,4,4,Satisfied
33189,33190,male,38,Returning,Business,Economy Plus,216 miles,0 minutes,0.0 minutes,5,5,1,5,5,2,5,4,5,5,4,5,5,3,Satisfied
33190,33191,Female,31,Returning,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,5,5,2,5,5,3,5,2,5,5,4,5,5,5,Satisfied
33191,33192,Female,50, First-time ,Business,Economy Plus,102 miles,0 minutes,0.0 minutes,3,3,1,3,1,5,4,3,4,4,1,3,4,1,Neutral or Dissatisfied
33192,33193,Male,64,returning,business,ECONOMY PLUS,102 miles,34 minutes,38.0 minutes,4,4,2,4,4,5,4,4,4,4,1,4,4,4,Satisfied
33193,33194,Male,44,returning,Business,Economy Plus,163 miles,0 minutes,0.0 minutes,3,4,3,4,3,1,5,3,5,5,3,4,5,1,Satisfied
33194,33195,Female,47,returning,business,Economy Plus,163 miles,0 minutes,0.0 minutes,2,5,4,2,2,5,1,5,5,1,5,5,5,5,Satisfied
33195,33196,Female,63,Returning,Business,Economy Plus,163 miles,0 minutes,0.0 minutes,2,2,3,1,2,4,5,4,2,5,4,4,4,4,Satisfied
33196,33197,male,39,Returning,Business,Economy Plus,163 miles,0 minutes,0.0 minutes,1,1,4,4,1,4,4,3,4,4,1,4,4,2,Satisfied
33197,33198,Female,51,Returning,Business,ECONOMY PLUS,216 miles,2 minutes,3.0 minutes,4,4,1,4,4,3,2,4,4,5,3,4,3,3,Satisfied
33198,33199,Male,53,Returning,Business,ECONOMY PLUS,101 miles,2 minutes,10.0 minutes,3,3,4,4,3,1,5,5,5,5,3,4,5,3,Satisfied
33199,33200,FEMALE,24,First-time,Business,Economy,101 miles,32 minutes,36.0 minutes,5,2,3,2,4,4,3,5,3,3,4,2,3,1,Neutral or Dissatisfied
33200,33201,FEMALE,50,Returning,business,Economy Plus,216 miles,0 minutes,0.0 minutes,1,1,4,4,1,4,5,4,1,3,4,4,4,4,Satisfied
33201,33202,FEMALE,51,Returning,Business,Economy Plus,102 miles,0 minutes,0.0 minutes,3,5,4,4,5,4,1,4,3,5,4,4,4,4,Satisfied
33202,33203,Male,35,returning,business,Economy Plus,102 miles,0 minutes,0.0 minutes,1,1,1,5,1,1,5,1,5,5,5,5,5,5,Satisfied
33203,33204,Female,31,Returning,Business,ECONOMY PLUS,101 miles,0 minutes,0.0 minutes,2,5,2,4,2,3,4,3,4,4,1,4,4,1,Satisfied
33204,33205,Male,33,Returning,business,Economy Plus,102 miles,0 minutes,0.0 minutes,4,4,2,4,4,2,4,4,4,4,3,4,4,3,Satisfied
33205,33206,Male,67,Returning,Business,Economy Plus,216 miles,0 minutes,0.0 minutes,1,1,4,5,1,1,5,2,5,5,2,5,5,3,Satisfied
33206,33207,Male,44,returning,Business,ECONOMY PLUS,101 miles,0 minutes,0.0 minutes,1,1,3,5,1,2,5,2,5,5,2,5,5,2,Satisfied
33207,33208,Male,39,Returning,Business,Economy Plus,216 miles,0 minutes,2.0 minutes,5,5,4,4,5,3,4,2,4,4,3,4,4,1,Satisfied
33208,33209,Female,36,Returning,Business,Economy Plus,216 miles,10 minutes,13.0 minutes,4,4,1,4,4,4,4,3,4,4,3,4,4,2,Satisfied
33209,33210,male,21,returning,Business,ECONOMY PLUS,102 miles,15 minutes,18.0 minutes,2,2,4,4,2,5,4,5,4,4,4,4,4,5,Satisfied
33210,33211,Male,49,Returning,Business,ECONOMY PLUS,102 miles,15 minutes,30.0 minutes,5,3,4,3,3,3,3,4,3,3,3,3,3,3,Neutral or Dissatisfied
33211,33212,Male,59,returning,Business,Economy Plus,101 miles,0 minutes,3.0 minutes,5,5,5,2,5,3,2,5,2,2,2,2,2,5,Satisfied
33212,33213,male,38,returning,Business,Economy Plus,102 miles,0 minutes,10.0 minutes,2,2,2,3,2,4,3,3,3,3,3,3,3,3,Neutral or Dissatisfied
33213,33214,Female,55,returning,Business,ECONOMY PLUS,102 miles,0 minutes,0.0 minutes,2,5,2,4,2,2,2,2,3,5,2,2,2,2,Satisfied
33214,33215,male,34,Returning,Business,Economy Plus,101 miles,3 minutes,5.0 minutes,3,3,3,5,3,4,5,3,5,5,5,5,5,5,Satisfied
33215,33216,Female,39,returning,Business,Economy Plus,216 miles,0 minutes,0.0 minutes,3,3,1,5,3,3,5,5,5,5,5,5,5,5,Satisfied
33216,33217,Male,25,First-time,business,Economy Plus,101 miles,0 minutes,1.0 minutes,5,4,1,4,4,5,1,1,1,1,2,4,1,2,Neutral or Dissatisfied
33217,33218,Female,65,returning,business,Economy Plus,216 miles,0 minutes,0.0 minutes,2,5,4,5,2,4,5,4,2,5,4,4,4,4,Satisfied
33218,33219,FEMALE,32,Returning,Business,Economy Plus,101 miles,0 minutes,1.0 minutes,5,5,2,3,5,3,3,5,3,3,3,3,3,3,Neutral or Dissatisfied
33219,33220,Male,56,Returning,Business,Economy Plus,102 miles,0 minutes,3.0 minutes,4,4,4,4,4,5,4,2,4,4,4,4,4,5,Satisfied
33220,33221,Male,30,Returning,business,ECONOMY PLUS,101 miles,81 minutes,76.0 minutes,2,2,4,2,2,1,2,2,2,2,3,2,2,4,Neutral or Dissatisfied
33221,33222,Female,74,Returning,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,5,5,2,5,5,5,2,5,2,2,5,5,5,5,Satisfied
33222,33223,FEMALE,29, First-time ,Business,Economy Plus,201 miles,0 minutes,0.0 minutes,2,2,3,2,1,5,4,4,5,5,3,2,5,5,Neutral or Dissatisfied
33223,33224,Female,33,Returning,business,Economy Plus,216 miles,0 minutes,0.0 minutes,3,3,4,2,3,4,2,5,2,2,4,2,2,3,Neutral or Dissatisfied
33224,33225,male,49,returning,Business,Economy Plus,101 miles,0 minutes,16.0 minutes,2,2,2,3,2,3,3,4,3,3,4,3,3,3,Neutral or Dissatisfied
33225,33226,Male,30,Returning,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,3,3,4,2,3,1,2,5,2,2,4,2,2,4,Neutral or Dissatisfied
33226,33227,FEMALE,50,First-time,Business,ECONOMY PLUS,101 miles,0 minutes,0.0 minutes,3,3,5,3,4,2,2,3,2,2,5,3,2,2,Neutral or Dissatisfied
33227,33228,Male,38,Returning,Business,Economy Plus,102 miles,0 minutes,0.0 minutes,3,3,2,4,3,3,4,2,4,4,1,4,4,5,Satisfied
33228,33229,Female,39,First-time,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,4,4,4,4,4,5,1,1,1,1,3,4,1,5,Satisfied
33229,33230,Male,69,Returning,Business,Economy Plus,163 miles,2 minutes,4.0 minutes,1,4,1,3,1,4,3,4,3,3,2,3,3,4,Satisfied
33230,33231,male,64,Returning,business,Economy Plus,101 miles,0 minutes,4.0 minutes,1,4,2,2,1,2,2,4,2,2,3,2,2,4,Neutral or Dissatisfied
33231,33232,Female,44, First-time ,Business,ECONOMY PLUS,101 miles,0 minutes,0.0 minutes,2,2,5,2,4,3,1,1,1,1,4,2,1,2,Neutral or Dissatisfied
33232,33233,Female,48,Returning,Business,ECONOMY PLUS,216 miles,0 minutes,0.0 minutes,3,3,5,4,3,2,2,2,3,5,2,2,2,2,Satisfied
33233,33234,Female,27, First-time ,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,3,3,2,3,3,2,1,1,1,1,4,3,1,2,Neutral or Dissatisfied
33234,33235,male,38,First-time,business, Business ,216 miles,0 minutes,0.0 minutes,4,4,2,4,4,2,4,1,4,4,4,4,4,4,Neutral or Dissatisfied
33235,33236,Male,54,Returning,Business,Economy Plus,201 miles,0 minutes,10.0 minutes,3,3,2,2,3,3,2,5,2,2,3,2,2,3,Neutral or Dissatisfied
33236,33237,Female,36,returning,business,Economy Plus,102 miles,0 minutes,0.0 minutes,5,4,5,5,4,2,5,2,5,5,4,5,5,4,Satisfied
33237,33238,Male,48,Returning,Business,Economy Plus,102 miles,0 minutes,0.0 minutes,4,4,2,4,4,3,4,5,4,4,2,4,4,1,Satisfied
33238,33239,male,60,returning,Business,Economy Plus,216 miles,2 minutes,4.0 minutes,5,5,1,4,5,1,3,1,3,3,2,4,3,5,Satisfied
33239,33240,Female,58,Returning,Business,Economy Plus,163 miles,4 minutes,4.0 minutes,1,5,4,4,1,1,4,1,2,1,1,1,1,1,Neutral or Dissatisfied
33240,33241,male,25,First-time,Business,Economy Plus,101 miles,7 minutes,7.0 minutes,1,1,2,1,3,2,2,5,2,2,4,1,2,3,Neutral or Dissatisfied
33241,33242,Female,24,First-time,Business,Economy,101 miles,0 minutes,0.0 minutes,2,3,4,3,3,4,3,1,3,3,3,3,3,4,Neutral or Dissatisfied
33242,33243,Female,24,First-time,Business,Business,201 miles,28 minutes,30.0 minutes,1,3,3,3,4,2,3,4,3,3,4,3,3,4,Neutral or Dissatisfied
33243,33244,Female,18,First-time,Business,Economy,102 miles,0 minutes,0.0 minutes,0,3,1,3,2,1,3,3,4,4,5,3,4,3,Neutral or Dissatisfied
33244,33245,FEMALE,39,First-time,Business,Economy Plus,201 miles,0 minutes,0.0 minutes,3,3,2,3,1,2,4,2,4,4,5,3,4,2,Neutral or Dissatisfied
33245,33246,Male,35,Returning,Business,Economy Plus,216 miles,0 minutes,0.0 minutes,1,1,4,3,1,1,3,3,3,3,1,3,3,3,Satisfied
33246,33247,Male,53,Returning,Business,Economy Plus,101 miles,7 minutes,7.0 minutes,4,4,1,1,4,3,2,2,2,2,4,1,2,3,Neutral or Dissatisfied
33247,33248,male,38,Returning,Business,Economy Plus,102 miles,0 minutes,0.0 minutes,3,3,3,5,3,3,5,1,5,5,5,5,5,4,Satisfied
33248,33249,Female,22,First-time,Business,Business,101 miles,0 minutes,0.0 minutes,2,3,4,3,1,2,5,1,5,5,1,3,5,1,Neutral or Dissatisfied
33249,33250,FEMALE,48,Returning,Business,ECONOMY PLUS,163 miles,0 minutes,0.0 minutes,2,2,2,2,2,4,5,4,1,1,4,4,4,4,Satisfied
33250,33251,male,58,Returning,business,Economy Plus,163 miles,0 minutes,0.0 minutes,5,5,2,1,5,3,2,3,2,2,3,1,2,3,Neutral or Dissatisfied
33251,33252,Male,37,First-time,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,3,3,2,3,3,2,2,1,2,2,3,3,2,4,Neutral or Dissatisfied
33252,33253,Male,58,Returning,Business,Economy Plus,163 miles,0 minutes,0.0 minutes,5,3,4,4,3,4,3,2,3,3,3,4,3,1,Satisfied
33253,33254,Male,57,Returning,Business,Economy Plus,216 miles,1 minutes,0.0 minutes,5,5,1,2,5,1,2,4,2,2,4,2,2,4,Neutral or Dissatisfied
33254,33255,male,21,Returning,Business,Economy Plus,101 miles,0 minutes,0.0 minutes,4,2,4,2,4,2,3,5,2,2,4,2,2,3,Neutral or Dissatisfied
33255,33256,FEMALE,29,Returning,Personal,Economy Plus,102 miles,0 minutes,3.0 minutes,4,3,1,3,4,4,2,3,2,2,3,3,2,4,Neutral or Dissatisfied
33256,33257,Female,27,Returning,Personal,Economy Plus,163 miles,0 minutes,0.0 minutes,4,3,5,3,2,3,1,2,1,1,5,3,1,5,Neutral or Dissatisfied
33257,33258,male,46,returning,PERSONAL,Economy Plus,102 miles,2 minutes,4.0 minutes,4,0,3,0,3,4,1,1,1,1,4,0,1,4,Satisfied
33258,33259,Female,36,Returning,Personal,Economy Plus,216 miles,0 minutes,0.0 minutes,0,1,2,1,4,3,4,1,4,4,1,1,4,1,Neutral or Dissatisfied
33259,33260,Male,30,Returning,Personal,Economy Plus,163 miles,9 minutes,11.0 minutes,5,3,5,3,2,4,1,2,1,1,5,3,1,4,Neutral or Dissatisfied
33260,33261,Male,36,Returning,Personal,Economy Plus,216 miles,0 minutes,0.0 minutes,3,5,4,5,4,4,3,4,3,3,4,5,3,3,Satisfied
33261,33262,Male,60,Returning,PERSONAL,Economy Plus,101 miles,0 minutes,0.0 minutes,3,3,2,3,4,3,3,5,2,2,2,3,2,1,Neutral or Dissatisfied
33262,33263,male,44,returning,PERSONAL,Economy Plus,163 miles,0 minutes,0.0 minutes,5,0,5,0,4,4,4,2,4,4,4,2,4,5,Neutral or Dissatisfied
33263,33264,FEMALE,23,Returning,PERSONAL,Economy Plus,101 miles,0 minutes,0.0 minutes,4,4,4,4,4,3,5,2,5,5,5,4,5,4,Neutral or Dissatisfied
33264,33265,Male,52,Returning,Personal,Economy Plus,102 miles,0 minutes,0.0 minutes,3,3,5,3,1,2,2,5,2,2,5,3,2,1,Neutral or Dissatisfied
33265,33266,Male,27,returning,Personal,ECONOMY PLUS,101 miles,0 minutes,10.0 minutes,4,1,3,1,3,4,2,5,2,2,4,1,2,2,Neutral or Dissatisfied
33266,33267,Male,48,Returning,Personal,Economy Plus,101 miles,16 minutes,16.0 minutes,5,2,4,2,2,5,2,4,5,5,5,2,5,5,Neutral or Dissatisfied
33267,33268,Male,25,Returning,Personal,ECONOMY PLUS,101 miles,0 minutes,0.0 minutes,1,2,1,2,3,1,5,5,5,5,3,2,5,3,Neutral or Dissatisfied
33268,33269,Male,41,Returning,Personal,Economy Plus,101 miles,3 minutes,4.0 minutes,3,3,1,3,3,1,1,3,1,1,1,3,1,4,Neutral or Dissatisfied
33269,33270,Male,38,Returning,Personal,ECONOMY PLUS,102 miles,0 minutes,8.0 minutes,5,1,5,1,1,3,1,2,4,4,4,1,4,3,Neutral or Dissatisfied
33270,33271,Male,34,Returning,Personal,ECONOMY PLUS,101 miles,0 minutes,0.0 minutes,3,1,4,1,2,4,5,2,5,5,4,1,5,2,Neutral or Dissatisfied
33271,33272,Female,32,returning,Personal,Economy Plus,101 miles,0 minutes,1.0 minutes,4,3,4,3,5,4,2,3,2,2,2,3,2,2,Neutral or Dissatisfied
33272,33273,Female,68,returning,Personal,Economy Plus,102 miles,0 minutes,0.0 minutes,5,1,2,5,4,5,1,1,2,4,5,1,5,4,Neutral or Dissatisfied
33273,33274,FEMALE,40,Returning,Personal,Economy Plus,101 miles,0 minutes,2.0 minutes,4,0,4,0,1,3,4,2,4,4,4,1,4,4,Neutral or Dissatisfied
33274,33275,FEMALE,58,Returning,Personal,Economy Plus,102 miles,0 minutes,0.0 minutes,4,4,3,1,4,1,5,4,2,4,1,4,1,1,Neutral or Dissatisfied
33275,33276,Male,60,Returning,Personal,Economy Plus,163 miles,0 minutes,0.0 minutes,2,2,4,2,3,3,5,5,3,3,3,2,3,4,Neutral or Dissatisfied
33276,33277,FEMALE,32,Returning,Personal,Economy Plus,216 miles,0 minutes,8.0 minutes,4,4,3,4,2,4,3,5,3,3,5,4,3,5,Neutral or Dissatisfied
33277,33278,Male,31,Returning,Personal,Economy Plus,101 miles,12 minutes,18.0 minutes,4,0,5,0,1,3,3,5,3,3,4,2,3,5,Neutral or Dissatisfied
33278,33279,FEMALE,16,Returning,Personal,Economy Plus,163 miles,0 minutes,1.0 minutes,3,4,2,4,3,2,1,5,1,1,4,4,1,4,Neutral or Dissatisfied
33279,33280,FEMALE,42,returning,Personal,ECONOMY PLUS,163 miles,0 minutes,2.0 minutes,3,1,4,4,4,2,4,1,4,3,2,1,2,2,Neutral or Dissatisfied
33280,33281,Female,42,Returning,Personal,Economy Plus,216 miles,0 minutes,0.0 minutes,2,4,3,2,3,2,3,4,4,1,2,4,2,4,Satisfied
33281,33282,male,7,Returning,Personal,Economy Plus,201 miles,6 minutes,6.0 minutes,2,0,1,0,3,4,5,1,3,3,4,3,3,4,Neutral or Dissatisfied
33282,33283,FEMALE,26,Returning,PERSONAL,ECONOMY PLUS,102 miles,68 minutes,65.0 minutes,5,2,1,2,1,1,3,2,3,3,4,2,3,4,Neutral or Dissatisfied
33283,33284,Male,37,Returning,Personal,Economy Plus,163 miles,0 minutes,0.0 minutes,3,2,1,2,3,1,5,3,5,5,4,2,5,4,Neutral or Dissatisfied
33284,33285,Male,51,returning,Personal,Economy Plus,101 miles,0 minutes,0.0 minutes,3,0,3,0,4,4,3,1,3,3,4,2,3,4,Neutral or Dissatisfied
33285,33286,Female,62,Returning,Personal,Economy Plus,102 miles,0 minutes,0.0 minutes,5,2,5,3,3,3,4,2,5,1,3,2,3,5,Neutral or Dissatisfied
33286,33287,Female,16,returning,Personal,ECONOMY PLUS,102 miles,0 minutes,0.0 minutes,1,2,3,2,2,4,3,4,3,3,3,2,3,2,Neutral or Dissatisfied
33287,33288,male,21,Returning,Personal,Economy Plus,101 miles,0 minutes,1.0 minutes,4,2,3,2,4,5,5,4,5,5,4,2,5,4,Neutral or Dissatisfied
33288,33289,Female,39,Returning,PERSONAL,Economy Plus,101 miles,0 minutes,4.0 minutes,4,5,3,5,1,5,2,3,2,2,5,5,2,5,Satisfied
33289,33290,Female,10,Returning,Personal,Economy Plus,216 miles,0 minutes,0.0 minutes,4,4,4,4,3,3,5,2,5,5,3,4,5,4,Neutral or Dissatisfied
33290,33291,FEMALE,27,Returning,PERSONAL,Economy Plus,102 miles,0 minutes,0.0 minutes,4,5,5,5,1,2,3,5,3,3,1,5,3,2,Satisfied
33291,33292,FEMALE,47,Returning,PERSONAL,Economy Plus,101 miles,0 minutes,0.0 minutes,4,4,4,5,3,3,5,4,3,3,3,4,3,3,Neutral or Dissatisfied
33292,33293,FEMALE,30,Returning,Personal,Economy Plus,101 miles,5 minutes,10.0 minutes,1,3,1,3,3,2,4,5,3,3,2,3,3,3,Neutral or Dissatisfied
33293,33294,male,52,Returning,Personal,ECONOMY PLUS,102 miles,0 minutes,0.0 minutes,5,4,4,4,1,4,1,4,1,1,5,4,1,5,Neutral or Dissatisfied
33294,33295,FEMALE,61,Returning,Personal,Economy Plus,101 miles,0 minutes,0.0 minutes,1,3,1,4,3,4,3,3,2,5,4,3,4,4,Neutral or Dissatisfied
33295,33296,Female,47,returning,Personal,Economy Plus,101 miles,0 minutes,4.0 minutes,4,1,4,5,4,3,4,1,5,5,3,1,3,3,Neutral or Dissatisfied
33296,33297,Male,13,Returning,PERSONAL,Economy Plus,101 miles,0 minutes,1.0 minutes,5,2,3,2,3,3,2,4,3,3,4,2,3,5,Neutral or Dissatisfied
33297,33298,male,67,returning,PERSONAL,Economy Plus,201 miles,0 minutes,8.0 minutes,5,0,2,0,4,3,3,2,3,3,4,2,3,1,Neutral or Dissatisfied
33298,33299,FEMALE,20,returning,PERSONAL,ECONOMY PLUS,101 miles,6 minutes,18.0 minutes,2,3,4,3,3,4,1,5,1,1,2,3,1,3,Neutral or Dissatisfied
33299,33300,Male,25,Returning,Personal,ECONOMY PLUS,102 miles,0 minutes,0.0 minutes,5,2,4,2,1,5,4,3,4,4,5,2,4,4,Neutral or Dissatisfied
33300,33301,Female,31,returning,Personal,Economy Plus,163 miles,25 minutes,30.0 minutes,5,0,5,0,4,4,3,2,4,4,4,3,4,4,Neutral or Dissatisfied
33301,33302,Female,55,Returning,Personal,Economy Plus,101 miles,0 minutes,0.0 minutes,2,0,2,3,4,3,4,0,1,5,3,1,3,5,Neutral or Dissatisfied
33302,33303,Male,16,Returning,Personal,Economy Plus,163 miles,6 minutes,4.0 minutes,4,3,3,3,2,5,1,2,5,5,4,3,5,5,Neutral or Dissatisfied
33303,33304,Male,43,returning,Personal,ECONOMY PLUS,216 miles,0 minutes,0.0 minutes,4,3,5,3,4,1,3,4,3,3,4,3,3,4,Neutral or Dissatisfied
33304,33305,Female,66,Returning,Personal,Economy Plus,102 miles,0 minutes,5.0 minutes,2,0,3,3,4,2,4,0,3,2,2,3,2,2,Neutral or Dissatisfied
33305,33306,Female,64,Returning,Personal,ECONOMY PLUS,163 miles,0 minutes,0.0 minutes,5,3,5,4,4,4,5,3,3,5,4,3,4,5,Neutral or Dissatisfied
33306,33307,Female,54,returning,Business,Economy Plus,101 miles,0 minutes,3.0 minutes,4,4,2,4,4,5,5,5,4,2,5,5,5,5,Satisfied
